rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_columntransformer__countvectorizer__max_features,param_decisiontreeregressor__max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
1,0.34188642501831057,0.1289307302018344,0.0770172119140625,0.030626477007839648,331,11,"{'columntransformer__countvectorizer__max_features': 331, 'decisiontreeregressor__max_depth': 11}",-0.1119068328402207,-0.1154235469289619,-0.10324986849237805,-0.11341522515278192,-0.10223305498879233,-0.10924570568062697,0.005436166778006589,-0.0768733764012832,-0.07989671714770978,-0.08212904997540547,-0.0786329329106438,-0.0788597188361776,-0.07927835905424396,0.0017253742527240168
2,0.23130722045898439,0.02081883034614728,0.057618904113769534,0.01355856441452612,338,9,"{'columntransformer__countvectorizer__max_features': 338, 'decisiontreeregressor__max_depth': 9}",-0.10985662673438874,-0.11489239517450305,-0.1030137416874578,-0.11501670823335518,-0.104129900166291,-0.10938187439919915,0.005108403447474653,-0.08442191085138746,-0.08680793137876651,-0.088804288233151,-0.08491933732638227,-0.0873955374676465,-0.08646980105146676,0.0016136258839218494
3,0.2457958221435547,0.012314151190005772,0.062276458740234374,0.01181592590311443,296,9,"{'columntransformer__countvectorizer__max_features': 296, 'decisiontreeregressor__max_depth': 9}",-0.11101859856537466,-0.11467519642668082,-0.10215772388228744,-0.11685070286396,-0.10401801424932033,-0.10974404719752466,0.005775552327492265,-0.08442191085138746,-0.08642790093042403,-0.088804288233151,-0.0848996864924434,-0.08739763781378355,-0.08639028486423789,0.0016087241503115926
4,0.24231982231140137,0.013675039404274444,0.060160064697265626,0.013011761424544566,341,13,"{'columntransformer__countvectorizer__max_features': 341, 'decisiontreeregressor__max_depth': 13}",-0.11423932704753649,-0.11368544184861522,-0.1041598469535369,-0.11211630099999358,-0.10562189119486162,-0.10996456160890877,0.004226157836049177,-0.0708831738451525,-0.07247336169324879,-0.0740874803086993,-0.0724882245945951,-0.0720961057968363,-0.07240566924770639,0.0010250568645957024
5,0.23746581077575685,0.004765775205898884,0.05311241149902344,0.006298869974815504,336,9,"{'columntransformer__countvectorizer__max_features': 336, 'decisiontreeregressor__max_depth': 9}",-0.10982400352900558,-0.11576125324675093,-0.10225461485604727,-0.11943650453874469,-0.10328808661261306,-0.1101128925566323,0.006741627108376472,-0.08442191085138746,-0.08680793137876651,-0.08878895177056034,-0.0848996864924434,-0.08739763781378355,-0.08646322366138826,0.0016132309768508268
6,0.2265371322631836,0.017968175901449612,0.06842718124389649,0.009516942992448292,321,12,"{'columntransformer__countvectorizer__max_features': 321, 'decisiontreeregressor__max_depth': 12}",-0.11362711483174152,-0.11418890954425305,-0.1042865917597825,-0.11361970848142772,-0.10496622483916229,-0.11013770989127343,0.004509818636743004,-0.07363767298266718,-0.07588768407443713,-0.07908543131237065,-0.07514920247051765,-0.07541690745755845,-0.07583537965951022,0.001791169687886787
7,0.23460583686828612,0.01707574129077567,0.06232056617736816,0.005613614894635371,283,13,"{'columntransformer__countvectorizer__max_features': 283, 'decisiontreeregressor__max_depth': 13}",-0.1143043546688406,-0.11431448072184601,-0.10290017184988091,-0.11559626030622405,-0.10375459130496287,-0.11017397177035089,0.0056164348313542,-0.07092694830860417,-0.07266960153537323,-0.07397395479101548,-0.07242205368962996,-0.0720961057968363,-0.07241773282429183,0.0009809348341471287
8,0.25142636299133303,0.009879306719628132,0.05718832015991211,0.009169451721363651,216,9,"{'columntransformer__countvectorizer__max_features': 216, 'decisiontreeregressor__max_depth': 9}",-0.11099237740864706,-0.11501562812304475,-0.10512081053912047,-0.11540815294683378,-0.10470425518979855,-0.11024824484148892,0.0046245590507533055,-0.08436109791981182,-0.08642790093042403,-0.088804288233151,-0.08491933732638227,-0.08751400971914627,-0.08640532682578309,0.001635343376457379
9,0.2312943458557129,0.02572225714423195,0.061783218383789064,0.006586184216611989,176,9,"{'columntransformer__countvectorizer__max_features': 176, 'decisiontreeregressor__max_depth': 9}",-0.11044591682697522,-0.11353238607237452,-0.10363785284398727,-0.11785440725749487,-0.10586054231318441,-0.11026622106280326,0.005130808214146582,-0.0844596359950448,-0.08642790093042403,-0.08878895177056034,-0.08491390873944345,-0.0873955374676465,-0.08639718698062382,0.001592005277284483
10,0.2475207805633545,0.013703398190890467,0.06159191131591797,0.014527353269991265,419,9,"{'columntransformer__countvectorizer__max_features': 419, 'decisiontreeregressor__max_depth': 9}",-0.11091008032305359,-0.115440378264859,-0.10374850399345747,-0.11724097172880513,-0.1040027089430162,-0.11026852865063827,0.005613302015702372,-0.08437256153410533,-0.08680457082494726,-0.08878895177056034,-0.08452727271413417,-0.08792207688541155,-0.08648308674583173,0.00177598329626814
11,0.23629159927368165,0.016969636024908284,0.05892720222473145,0.007804770952916516,165,13,"{'columntransformer__countvectorizer__max_features': 165, 'decisiontreeregressor__max_depth': 13}",-0.11486265522098756,-0.11344542995825484,-0.1075898147275927,-0.11179484600692839,-0.10413382184202137,-0.11036531355115697,0.003957060647986186,-0.07018701740310734,-0.07180216800966838,-0.07359541397280514,-0.07206387178757732,-0.07187646335313823,-0.07190498690525929,0.0010812578420673973
12,0.2442647933959961,0.03125923310001212,0.053066062927246097,0.005261035900413987,156,10,"{'columntransformer__countvectorizer__max_features': 156, 'decisiontreeregressor__max_depth': 10}",-0.11265763779848444,-0.11394859660319191,-0.10490144401978473,-0.11608710945203564,-0.10476193070326738,-0.1104713437153528,0.004733480196102704,-0.08180307037207475,-0.08278182098985123,-0.08472468036159807,-0.08170892798408716,-0.08326502475766502,-0.08285670489305524,0.0011035581179470266
13,0.2644688606262207,0.006689630663657562,0.051809263229370114,0.0029342330552654407,256,13,"{'columntransformer__countvectorizer__max_features': 256, 'decisiontreeregressor__max_depth': 13}",-0.11256826597506697,-0.11582572841953437,-0.10827415235467167,-0.11286195365242586,-0.10285210396179756,-0.1104764408726993,0.004509143350736015,-0.0708831738451525,-0.07266960153537323,-0.07440843214268879,-0.0724882245945951,-0.07210561039349686,-0.07251100850226129,0.001134907980880177
14,0.2418886661529541,0.01270240253317966,0.06404833793640137,0.013110401446088677,376,8,"{'columntransformer__countvectorizer__max_features': 376, 'decisiontreeregressor__max_depth': 8}",-0.10837910627710153,-0.11341612569732569,-0.10488698051677002,-0.1203681360569384,-0.10538090417583057,-0.11048625054479325,0.005798142341185441,-0.08809083942890299,-0.09085557586345,-0.09229431631510876,-0.0888269783825274,-0.09117503314868182,-0.0902485486277342,0.0015549014124336192
15,0.23004956245422364,0.02536028096126246,0.05848984718322754,0.007379036515725735,227,11,"{'columntransformer__countvectorizer__max_features': 227, 'decisiontreeregressor__max_depth': 11}",-0.11407987106959695,-0.11605800349562184,-0.10390036015040267,-0.11546127527770399,-0.10312972355659776,-0.11052584670998464,0.005765310275222253,-0.07686679164893571,-0.07957955517820933,-0.08212904997540547,-0.07869863800457753,-0.07911322587567617,-0.07927745213656084,0.001696829781269849
16,0.247892427444458,0.02448520276742442,0.0592742919921875,0.010947296157483232,176,9,"{'columntransformer__countvectorizer__max_features': 176, 'decisiontreeregressor__max_depth': 9}",-0.11132086347656976,-0.11460045948753711,-0.10420282459539969,-0.11827369136321966,-0.10443756488073538,-0.11056708076069233,0.005555229982206246,-0.0844596359950448,-0.08639585882004741,-0.08878895177056034,-0.08491933732638227,-0.08751190937300923,-0.08641513865700881,0.001606217836740149
17,0.22801527976989747,0.010332822698569681,0.061907291412353516,0.009246500894214136,425,12,"{'columntransformer__countvectorizer__max_features': 425, 'decisiontreeregressor__max_depth': 12}",-0.11532519765658493,-0.11378258140107134,-0.10539214005061764,-0.11376372501813846,-0.104797587910228,-0.11061224640732807,0.00454432645610077,-0.07371081664691254,-0.07589455567415308,-0.07919123147551026,-0.07511966399942624,-0.07568159592149548,-0.07591957274349952,0.0018044094420816466
18,0.22298946380615234,0.022662887595362648,0.06759600639343262,0.012381331962896178,159,6,"{'columntransformer__countvectorizer__max_features': 159, 'decisiontreeregressor__max_depth': 6}",-0.10993790469041055,-0.11395082473500177,-0.10396904530327136,-0.11972334725661726,-0.10550556199208028,-0.11061733679547625,0.005741484437891015,-0.09747548237077133,-0.09815078639576195,-0.09986508545473043,-0.09627414641539223,-0.10033186130707543,-0.09841947238874628,0.0015041782713695908
19,0.254762601852417,0.015032702891400046,0.05617775917053223,0.005552580146814677,240,13,"{'columntransformer__countvectorizer__max_features': 240, 'decisiontreeregressor__max_depth': 13}",-0.11451272770706195,-0.11248478322155159,-0.10497839172174785,-0.11504084693301407,-0.1062379156809426,-0.1106509330528636,0.004223748471337343,-0.07104053636697168,-0.07266960153537323,-0.07433710696387759,-0.07243120719812816,-0.07210561039349686,-0.07251681249156952,0.0010670166901791114
20,0.23473768234252929,0.013443577010001104,0.055472517013549806,0.003972248363982736,177,12,"{'columntransformer__countvectorizer__max_features': 177, 'decisiontreeregressor__max_depth': 12}",-0.11483200622281103,-0.11328686582767215,-0.1053165625066111,-0.11429884677521518,-0.10556745362756868,-0.11066034699197562,0.004290305771209321,-0.07339948678667045,-0.07578814997124382,-0.07827202907431964,-0.07501670754791792,-0.07541690745755847,-0.07557865616754207,0.0015740948736057893
21,0.23914999961853028,0.02369907379450881,0.060052108764648435,0.004472004701590871,207,7,"{'columntransformer__countvectorizer__max_features': 207, 'decisiontreeregressor__max_depth': 7}",-0.10893348901399548,-0.11313454846397651,-0.10666872208980056,-0.11968537892927801,-0.10489677335501661,-0.11066378237041344,0.005285956948153873,-0.09295198264564364,-0.09455486650090092,-0.09625552597187241,-0.09300885659944227,-0.09462283071446698,-0.09427881248646523,0.001222719587227835
22,0.2513495922088623,0.01529530113180693,0.06014442443847656,0.010932581490525443,304,11,"{'columntransformer__countvectorizer__max_features': 304, 'decisiontreeregressor__max_depth': 11}",-0.11386052468827874,-0.115778480758472,-0.10396072560624833,-0.11535762126890683,-0.10440414190564196,-0.11067229884550958,0.005339009847017201,-0.0768733764012832,-0.07957955517820933,-0.08212904997540547,-0.07863293291064379,-0.0788597188361776,-0.07921492666034388,0.0017072091605993928
23,0.2345503330230713,0.01697665415033564,0.06415925025939942,0.013048428078102614,207,10,"{'columntransformer__countvectorizer__max_features': 207, 'decisiontreeregressor__max_depth': 10}",-0.1134530127804727,-0.11685715398758335,-0.10374297426113335,-0.11519396842572271,-0.10417027637822002,-0.11068347716662644,0.005598598208402232,-0.08166922892724832,-0.08278701969146914,-0.08487014505912194,-0.08170892798408716,-0.08328151709703606,-0.08286336775179251,0.0011803839859976472
24,0.2291490077972412,0.010413579881410853,0.06562361717224122,0.01790216448835423,275,12,"{'columntransformer__countvectorizer__max_features': 275, 'decisiontreeregressor__max_depth': 12}",-0.11367273040552613,-0.11392789780019043,-0.10686277972198274,-0.11313883202036408,-0.1058749189589839,-0.11069543178140946,0.003555556610919343,-0.07362982615278646,-0.07585008836817524,-0.07935052084994229,-0.07505889398452778,-0.07541690745755847,-0.07586124736259806,0.0018971348661994672
25,0.22445859909057617,0.016604058176520123,0.05693397521972656,0.005277541337361948,141,7,"{'columntransformer__countvectorizer__max_features': 141, 'decisiontreeregressor__max_depth': 7}",-0.10983568490369536,-0.11381936270811281,-0.10688058649658023,-0.11761885225074399,-0.10533395387694292,-0.11069768804721505,0.004510661249469816,-0.09277497657956371,-0.09455486650090092,-0.09625552597187241,-0.09300885659944227,-0.09462283071446698,-0.09424341127324927,0.0012625367102669835
26,0.23949661254882812,0.0245893007761498,0.05430350303649902,0.007437828224739049,225,7,"{'columntransformer__countvectorizer__max_features': 225, 'decisiontreeregressor__max_depth': 7}",-0.10945872375577952,-0.1142644919668014,-0.10547671729610085,-0.12003777292573982,-0.10435691145922252,-0.11071892348072883,0.005813020503299769,-0.09295198264564364,-0.09448429487069629,-0.09625552597187241,-0.09300885659944227,-0.09462283071446698,-0.0942646981604243,0.001219855488596769
27,0.24041495323181153,0.024039787871854595,0.06822619438171387,0.016214254018546176,234,12,"{'columntransformer__countvectorizer__max_features': 234, 'decisiontreeregressor__max_depth': 12}",-0.11567464085814082,-0.11480515221558045,-0.10505211625412054,-0.11350215316418696,-0.10462281603038871,-0.1107313757044835,0.004863686305045642,-0.07363767298266718,-0.07585008836817524,-0.07908543131237065,-0.07520937238651981,-0.07541690745755847,-0.07583989450145827,0.0017866095768503004
28,0.24043750762939453,0.02586116804381637,0.06585984230041504,0.01510379244449371,286,14,"{'columntransformer__countvectorizer__max_features': 286, 'decisiontreeregressor__max_depth': 14}",-0.11596921692040031,-0.11391756396781397,-0.1046178259179533,-0.1110503082452484,-0.10816943674047018,-0.11074487035837724,0.004040460516757838,-0.06699205545990838,-0.06928789816763149,-0.06901134916542793,-0.0685892952735922,-0.06938837340606498,-0.06865379429452499,0.00087579401195489
29,0.24660391807556153,0.015510499853577185,0.06370220184326172,0.005324241543942763,111,12,"{'columntransformer__countvectorizer__max_features': 111, 'decisiontreeregressor__max_depth': 12}",-0.11383242529175108,-0.11404272805002993,-0.10762097377550493,-0.11527819592754597,-0.10339499746820556,-0.1108338641026075,0.004576017121180258,-0.0724575981884334,-0.07477075933759522,-0.07651210653142002,-0.07456290168000268,-0.0737324410474008,-0.07440716135697042,0.001329909528609602
30,0.2433743953704834,0.010946273624450407,0.05675420761108398,0.00955815866841173,433,12,"{'columntransformer__countvectorizer__max_features': 433, 'decisiontreeregressor__max_depth': 12}",-0.11315470773961614,-0.11495461244598375,-0.10498932332409597,-0.11412667656753069,-0.10799414337617368,-0.11104389269068005,0.003878443159382857,-0.07371081664691254,-0.07593215138041498,-0.07925314321702681,-0.07507378734804501,-0.07586838551980589,-0.07596765682244104,0.0018274499441618159
31,0.2250974655151367,0.011159105884302098,0.06870470046997071,0.009997698083065373,417,7,"{'columntransformer__countvectorizer__max_features': 417, 'decisiontreeregressor__max_depth': 7}",-0.11049081155102519,-0.11424309152167211,-0.10638623621409435,-0.1196247873075265,-0.10467082796750808,-0.11108315091236524,0.005412476995100443,-0.09310686295346356,-0.09448429487069629,-0.09625552597187241,-0.09300885659944227,-0.09473172726046353,-0.09431745353118762,0.001194448744595324
32,0.25817508697509767,0.01540315805944343,0.05591597557067871,0.008022994505771762,288,12,"{'columntransformer__countvectorizer__max_features': 288, 'decisiontreeregressor__max_depth': 12}",-0.1130738183629521,-0.11491989074133595,-0.10622917611218864,-0.11602856469823238,-0.1052431711539218,-0.11109892421372618,0.004490114427986892,-0.07363767298266718,-0.07585008836817524,-0.07935710095532267,-0.07506309467680186,-0.0755994963635948,-0.07590149066931234,0.0018901250521938195
33,0.22597084045410157,0.01587735256877402,0.060325336456298825,0.013151531303872319,211,6,"{'columntransformer__countvectorizer__max_features': 211, 'decisiontreeregressor__max_depth': 6}",-0.10993790469041055,-0.11468173224557028,-0.10509889153134566,-0.12102966609471577,-0.10486354863820252,-0.11112234864004895,0.006126690318143001,-0.09747548237077133,-0.09815078639576195,-0.0998576828361775,-0.09627414641539223,-0.10033186130707543,-0.09841799186503569,0.0015027576354892365
34,0.24834322929382324,0.010526205237802889,0.05562801361083984,0.0060447625182959,382,13,"{'columntransformer__countvectorizer__max_features': 382, 'decisiontreeregressor__max_depth': 13}",-0.11357897676036409,-0.11388086789149887,-0.10738237782396544,-0.11466095184972913,-0.10659794497911262,-0.11122022386093403,0.0034806860029492947,-0.07092694830860417,-0.07258257969237505,-0.07408325765261192,-0.07233885197798788,-0.0726274827928694,-0.07251182408488968,0.0010029493832202155
35,0.229423189163208,0.012826495908633065,0.08808937072753906,0.007618647166489101,326,12,"{'columntransformer__countvectorizer__max_features': 326, 'decisiontreeregressor__max_depth': 12}",-0.11313474335345457,-0.11465421055659882,-0.10742729025358833,-0.1154272121901002,-0.1054643913963285,-0.11122156955001408,0.004016773430775705,-0.07362982615278646,-0.07589455567415308,-0.07919781158089065,-0.07506309467680186,-0.07552970024580996,-0.07586299766608841,0.0018362988168971188
36,0.2333092212677002,0.016212195348206986,0.05383214950561523,0.003325780675385823,201,9,"{'columntransformer__countvectorizer__max_features': 201, 'decisiontreeregressor__max_depth': 9}",-0.11014365191578013,-0.11572609631693223,-0.10531596332472214,-0.11900924347589042,-0.10614653544563815,-0.11126829809579261,0.005342691667309311,-0.08442191085138746,-0.08642790093042403,-0.08878895177056034,-0.08491933732638227,-0.08739763781378355,-0.08639114773850752,0.0016004972384673823
37,0.26552133560180663,0.03229513960003193,0.10686931610107422,0.10150960779479021,295,7,"{'columntransformer__countvectorizer__max_features': 295, 'decisiontreeregressor__max_depth': 7}",-0.11016181967617927,-0.1142644919668014,-0.10723369384121301,-0.11968537892927801,-0.1051930872106525,-0.11130769432482483,0.005181258156835169,-0.09277497657956373,-0.09448429487069629,-0.09625552597187241,-0.09300885659944227,-0.09462283071446698,-0.09422929694720834,0.0012593664440144793
38,0.23387012481689454,0.016881100602538786,0.05761165618896484,0.009324292837250257,364,16,"{'columntransformer__countvectorizer__max_features': 364, 'decisiontreeregressor__max_depth': 16}",-0.1129746093064145,-0.11182649482724369,-0.10604728151576184,-0.1178434418427328,-0.10812830056485515,-0.11136402561140157,0.004087257678895457,-0.058520060382174,-0.062264487019367154,-0.060996424969091356,-0.06159367920015306,-0.0636127754786714,-0.06139748540989139,0.0016815539331413256
39,0.23450722694396972,0.016883070354069968,0.06857380867004395,0.008246898701577628,384,12,"{'columntransformer__countvectorizer__max_features': 384, 'decisiontreeregressor__max_depth': 12}",-0.1167818904160946,-0.1145639380440099,-0.10716379668501001,-0.11273803225515755,-0.10559454283853885,-0.11136844004776218,0.0042990545458180115,-0.07371081664691255,-0.07601385304997833,-0.0792531432170268,-0.07513455736294346,-0.07561600049598473,-0.07594567415456917,0.001827850278947614
40,0.22786660194396974,0.012352585644158316,0.06501569747924804,0.017376739750378022,181,12,"{'columntransformer__countvectorizer__max_features': 181, 'decisiontreeregressor__max_depth': 12}",-0.11591440973479203,-0.11347361573573887,-0.10633332143297455,-0.11211448307694374,-0.10904089361998436,-0.1113753447200867,0.0033592808379168133,-0.07340552280965562,-0.07585008836817524,-0.07828811377636058,-0.07494813624736758,-0.07534711133977363,-0.07556779450826653,0.0015866898287614992
41,0.2432168960571289,0.007051428143273407,0.058399105072021486,0.009901335538561365,315,7,"{'columntransformer__countvectorizer__max_features': 315, 'decisiontreeregressor__max_depth': 7}",-0.11052283812605983,-0.11494930621093764,-0.10575920317180708,-0.12098603610342917,-0.10471277028965761,-0.11138603078037827,0.006029854559915942,-0.09277497657956373,-0.09448429487069629,-0.09625552597187241,-0.09300885659944227,-0.09462283071446698,-0.09422929694720834,0.0012593664440144793
42,0.23990063667297362,0.011687391907219229,0.05890688896179199,0.0037365871714541503,150,7,"{'columntransformer__countvectorizer__max_features': 150, 'decisiontreeregressor__max_depth': 7}",-0.10950567211258704,-0.11355827727753585,-0.10937587839865179,-0.11910328682176217,-0.1054077031032345,-0.11139016354275429,0.004638781594053918,-0.09295198264564364,-0.09448429487069629,-0.09625552597187241,-0.09300885659944227,-0.09459342586854837,-0.09425881719124059,0.0012181844783224734
43,0.2516968250274658,0.007549311980341677,0.06185593605041504,0.008398845393409179,236,9,"{'columntransformer__countvectorizer__max_features': 236, 'decisiontreeregressor__max_depth': 9}",-0.11073690842452959,-0.11634772352293675,-0.10357871343887023,-0.11935734640873913,-0.10695240399826642,-0.11139461915866841,0.005817087059074042,-0.0844596359950448,-0.08642790093042403,-0.088804288233151,-0.08491390873944345,-0.08751400971914629,-0.08642394872344192,0.0016120179914625703
44,0.23774781227111816,0.016877972226620373,0.06688475608825684,0.012812906128133128,261,8,"{'columntransformer__countvectorizer__max_features': 261, 'decisiontreeregressor__max_depth': 8}",-0.10842715221171685,-0.11553447332221012,-0.10577357038641075,-0.12052609172336866,-0.10672922549424406,-0.11139810262759009,0.005704210207344897,-0.08786067008251087,-0.0908242166507647,-0.09229431631510876,-0.0888269783825274,-0.09099559882092075,-0.0901603560503665,0.0015974091116471793
45,0.22787961959838868,0.0130537535180789,0.06352591514587402,0.010464502475771877,400,5,"{'columntransformer__countvectorizer__max_features': 400, 'decisiontreeregressor__max_depth': 5}",-0.1105192451128297,-0.11559578929473108,-0.10410214307799376,-0.12251316704037614,-0.10445855179412618,-0.11143777926401137,0.0069759320686101,-0.10063380822752066,-0.10108178916678483,-0.10257969795273425,-0.10078869836848299,-0.10616260807975825,-0.1022493203590562,0.002075061216967494
46,0.24116163253784179,0.00877266700704853,0.055529117584228516,0.006979393193099305,385,5,"{'columntransformer__countvectorizer__max_features': 385, 'decisiontreeregressor__max_depth': 5}",-0.1105192451128297,-0.1148956890183596,-0.10480051093737856,-0.12229916258908356,-0.10469395669054801,-0.11144171286963989,0.006637814233105213,-0.10063380822752066,-0.10109061062056039,-0.10257969795273425,-0.10080634127603415,-0.10616260807975825,-0.10225461323132154,0.0020715938987253524
47,0.23848071098327636,0.0197166553545469,0.05974016189575195,0.0063931486079055536,266,6,"{'columntransformer__countvectorizer__max_features': 266, 'decisiontreeregressor__max_depth': 6}",-0.11026654318806313,-0.11529049260009334,-0.10509889153134566,-0.12144722954194023,-0.10520121709027776,-0.11146087479034401,0.006252644676926053,-0.09747548237077133,-0.09815078639576195,-0.0998576828361775,-0.09627414641539223,-0.10033186130707543,-0.09841799186503569,0.0015027576354892365
48,0.24063854217529296,0.020262103545301682,0.05455961227416992,0.002539369500881837,244,5,"{'columntransformer__countvectorizer__max_features': 244, 'decisiontreeregressor__max_depth': 5}",-0.11001594524013161,-0.1148210931810519,-0.1056479685644972,-0.12216005969574337,-0.1047919389826141,-0.11148740113280764,0.006420475247863546,-0.10087911930720833,-0.10109061062056039,-0.10257969795273425,-0.10079751982225856,-0.10618704280429396,-0.1023067981014111,0.0020457797014839414
49,0.23568758964538575,0.020553690325702346,0.06430974006652831,0.009551681228334313,220,7,"{'columntransformer__countvectorizer__max_features': 220, 'decisiontreeregressor__max_depth': 7}",-0.10945872375577952,-0.11459405882179195,-0.10888152811616593,-0.11947666013009565,-0.1052236592751229,-0.1115269260197912,0.00497216931283432,-0.09295198264564364,-0.09455486650090092,-0.09625552597187241,-0.09300885659944227,-0.0945934258685484,-0.09427293151728153,0.0012211204735773358
