rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_columntransformer__countvectorizer__max_features,param_randomforestregressor__max_depth,param_randomforestregressor__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
1,5.800530290603637,0.08708825978733066,0.09802112579345704,0.006280740945310688,396,78,351,"{'columntransformer__countvectorizer__max_features': 396, 'randomforestregressor__max_depth': 78, 'randomforestregressor__n_estimators': 351}",-0.09622796717768592,-0.09421613806019646,-0.0904920149696435,-0.1020976195568309,-0.09309553649798573,-0.0952258552524685,0.003903649666472125,-0.03416984806417013,-0.03427586527102699,-0.03441779664655518,-0.0336351765996873,-0.03452486296405961,-0.03420470990909984,0.0003093705094454607
2,7.185000324249268,0.07061265815350812,0.10233945846557617,0.001349984477321558,236,82,495,"{'columntransformer__countvectorizer__max_features': 236, 'randomforestregressor__max_depth': 82, 'randomforestregressor__n_estimators': 495}",-0.09686479517263785,-0.09499564731711076,-0.09028684282309647,-0.10053348949770888,-0.0934773227189337,-0.09523161950589754,0.003416464391791836,-0.033846696555618824,-0.03395860709827511,-0.034349246640621105,-0.03350471493235376,-0.03412848533003142,-0.03395755011138004,0.000282840713973379
3,7.932605600357055,0.10518165906646625,0.10745306015014648,0.007283218747047553,417,80,494,"{'columntransformer__countvectorizer__max_features': 417, 'randomforestregressor__max_depth': 80, 'randomforestregressor__n_estimators': 494}",-0.09675188454545582,-0.09405449233513496,-0.09026080059102533,-0.10145429935901225,-0.09368409895147374,-0.0952411151564204,0.0037288601055800296,-0.03397614170530545,-0.03424176795903709,-0.03438875232511526,-0.03366432288560706,-0.03422329092239514,-0.034098855159492,0.0002544899144899511
4,13.965221691131593,0.16709406221917047,0.14963884353637696,0.007574018490380267,378,99,885,"{'columntransformer__countvectorizer__max_features': 378, 'randomforestregressor__max_depth': 99, 'randomforestregressor__n_estimators': 885}",-0.09659560332286335,-0.09448591393096464,-0.09081716196823682,-0.10111922277161628,-0.09325179553201207,-0.09525393950513864,0.0034780755678818476,-0.03396898037296734,-0.03400024890186427,-0.03435040602950402,-0.03357619435616943,-0.034138053357031815,-0.03400677660350738,0.0002538452308321233
5,11.37745018005371,0.14343896071102497,0.13952236175537108,0.013632292619234838,372,88,714,"{'columntransformer__countvectorizer__max_features': 372, 'randomforestregressor__max_depth': 88, 'randomforestregressor__n_estimators': 714}",-0.09647759310245839,-0.09462373896975992,-0.09062372890035288,-0.10101702295990077,-0.09353738222770175,-0.09525589323203473,0.00344943507820415,-0.03400156314745655,-0.03397249550394299,-0.03437501514165916,-0.03355790791285934,-0.03403416337137728,-0.03398822901545907,0.00025973643035888925
6,8.910277557373046,0.15378163009718662,0.1288276195526123,0.0067812046934104175,253,75,603,"{'columntransformer__countvectorizer__max_features': 253, 'randomforestregressor__max_depth': 75, 'randomforestregressor__n_estimators': 603}",-0.09652808988923672,-0.09458394117083921,-0.09054417656566902,-0.10093273060017106,-0.09375059035011077,-0.09526790571520535,0.0034281766472306326,-0.03390170225125572,-0.03424630307054024,-0.034445374876954434,-0.0338592850659644,-0.03413378571430808,-0.034117290195804575,0.0002179911882815938
7,2.88091721534729,0.05421237317213271,0.07529520988464355,0.006201940050479557,420,54,182,"{'columntransformer__countvectorizer__max_features': 420, 'randomforestregressor__max_depth': 54, 'randomforestregressor__n_estimators': 182}",-0.09654415915589373,-0.09434557915847314,-0.09050711538700805,-0.10189411571190457,-0.09309180760937513,-0.09527655540453092,0.0038415184881009437,-0.03598392865002333,-0.03716976705102834,-0.03662515256367874,-0.03561977193540026,-0.03655529030763497,-0.036390782101553124,0.0005382929355336033
8,3.974336528778076,0.05575333655692811,0.0877084732055664,0.02253593477544895,368,90,243,"{'columntransformer__countvectorizer__max_features': 368, 'randomforestregressor__max_depth': 90, 'randomforestregressor__n_estimators': 243}",-0.09651386179117831,-0.09495345578037122,-0.09074609977411963,-0.10093832451523962,-0.09338206181706381,-0.09530676073559453,0.003400015361333001,-0.03430109451123162,-0.034002925900950075,-0.034522367300761865,-0.033725173606851774,-0.03409426881883581,-0.034129166027726233,0.0002700114462307518
9,10.715554904937743,0.13199268851210866,0.11894903182983399,0.003622160195531578,346,92,692,"{'columntransformer__countvectorizer__max_features': 346, 'randomforestregressor__max_depth': 92, 'randomforestregressor__n_estimators': 692}",-0.09719521676227719,-0.09409809572145439,-0.09053198978129787,-0.10089528966864052,-0.0938491910783739,-0.09531395660240878,0.003498041766067462,-0.0339411305700506,-0.03401104395079533,-0.03417195921141347,-0.033711887492788896,-0.03399544559285008,-0.033966293363579675,0.00014866500715620757
10,6.800638103485108,0.1183000516696241,0.09350132942199707,0.00264734131909009,405,88,433,"{'columntransformer__countvectorizer__max_features': 405, 'randomforestregressor__max_depth': 88, 'randomforestregressor__n_estimators': 433}",-0.09670332897725546,-0.09438308524888933,-0.0904906936409579,-0.101550979020826,-0.09349999932986702,-0.09532561724355915,0.0036946164198676983,-0.03402558417063117,-0.03411177783029509,-0.034370861991883925,-0.033741045005399435,-0.034189132995547156,-0.03408768039875136,0.0002074016237948539
11,1.6911140441894532,0.028451867909153467,0.07624239921569824,0.012199966147621673,356,87,93,"{'columntransformer__countvectorizer__max_features': 356, 'randomforestregressor__max_depth': 87, 'randomforestregressor__n_estimators': 93}",-0.09706629833347277,-0.09463456838327756,-0.09038074997813526,-0.10128692161406344,-0.09329918943458615,-0.09533354554870704,0.003677022616993269,-0.03427206396621741,-0.03466090426756692,-0.03456290323320824,-0.03412522015960207,-0.034514287381914366,-0.034427075801701804,0.00019792736047819366
12,10.42028455734253,0.07091603640657168,0.13314385414123536,0.014919565092516436,418,54,695,"{'columntransformer__countvectorizer__max_features': 418, 'randomforestregressor__max_depth': 54, 'randomforestregressor__n_estimators': 695}",-0.0967136886478898,-0.09421613060012579,-0.09075354585193879,-0.10172237744271462,-0.0932740580811147,-0.09533596012475674,0.0037199043216755655,-0.03561824670914834,-0.03701964922948591,-0.037142952020420957,-0.035536416517523026,-0.036736779146362766,-0.0364108087245882,0.000693641631104021
13,11.146580219268799,0.09082454500874228,0.13706617355346679,0.009790176815984387,390,66,712,"{'columntransformer__countvectorizer__max_features': 390, 'randomforestregressor__max_depth': 66, 'randomforestregressor__n_estimators': 712}",-0.09647712695529309,-0.09468544101084198,-0.09071055822520045,-0.1012294257281105,-0.09360414564684738,-0.09534133951325868,0.003488602961066531,-0.03455055650889859,-0.03496529152678415,-0.0350115487806771,-0.033949073065340195,-0.03495445674630299,-0.0346861853256006,0.00040434165374106596
14,9.954830121994018,0.14689378820857238,0.12598304748535155,0.010727871100582306,395,91,627,"{'columntransformer__countvectorizer__max_features': 395, 'randomforestregressor__max_depth': 91, 'randomforestregressor__n_estimators': 627}",-0.09681236183537013,-0.09427840511759314,-0.0904102082488154,-0.10189966366464183,-0.09331727301781186,-0.09534358237684647,0.0038657011640640176,-0.03389852269636432,-0.0341929239568396,-0.03419221008715552,-0.03363339646072325,-0.03394298084792873,-0.03397200680980229,0.00020889866400055742
