rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_columntransformer__countvectorizer__max_features,param_ridge__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
1,0.24025249481201172,0.012667937198623427,0.05946407318115234,0.0073644080714073724,437,1.0,"{'columntransformer__countvectorizer__max_features': 437, 'ridge__alpha': 1.0}",-0.08884796842831877,-0.09804936322773507,-0.08541176464469633,-0.09699089155827204,-0.08544334552706594,-0.09094866667721763,0.005519187462529897,-0.06709921890144425,-0.06633027899033442,-0.06862407241483888,-0.06722255431814698,-0.06894301054074711,-0.06764382703310232,0.0009847066540899776
2,0.23840560913085937,0.01806670179562796,0.05524940490722656,0.003866621190115152,379,1.0,"{'columntransformer__countvectorizer__max_features': 379, 'ridge__alpha': 1.0}",-0.08884908595312399,-0.0980478993883155,-0.08592643870156151,-0.09659651428576971,-0.0855124397698719,-0.09098647561972853,0.005319280330264213,-0.06757607329199916,-0.066909217124388,-0.06949968853750171,-0.06838488158108083,-0.06970001831437601,-0.06841397576986914,0.0010770239788857267
3,0.25960826873779297,0.038326119279974806,0.06323952674865722,0.022413242649150757,378,1.0,"{'columntransformer__countvectorizer__max_features': 378, 'ridge__alpha': 1.0}",-0.08882167689860684,-0.09810557850670636,-0.0859417401756029,-0.09655535504560925,-0.08553899192136367,-0.0909926685095778,0.005319861653541162,-0.06764061756596555,-0.06691860101550867,-0.06954469596965981,-0.06841738645018447,-0.0697952070872545,-0.0684633016177146,0.0010962119435835571
4,0.23084383010864257,0.0065603623910437244,0.05722823143005371,0.009207754601304753,364,1.0,"{'columntransformer__countvectorizer__max_features': 364, 'ridge__alpha': 1.0}",-0.08877826668984927,-0.0982309372163901,-0.08615360672181699,-0.09657723370523272,-0.08557625480992749,-0.09106325982864331,0.005314369546722262,-0.06803905134708223,-0.06746783139321416,-0.0699234263805242,-0.06869658743888137,-0.07036156291421153,-0.0688976918947827,0.0010970193474180445
5,0.22902116775512696,0.011539244922310954,0.05509519577026367,0.010317799461913305,329,1.0,"{'columntransformer__countvectorizer__max_features': 329, 'ridge__alpha': 1.0}",-0.08898962462599322,-0.09832053179880944,-0.08644253349917347,-0.09642968884527228,-0.08626044556489092,-0.09128856486682788,0.005097663085296018,-0.06918695151032736,-0.06851121369618075,-0.07076266592996382,-0.06976345486484044,-0.07155774952907684,-0.06995640710607784,0.0010892407741202625
6,0.23549151420593262,0.01169645381590708,0.06554136276245118,0.0077047534185860555,311,1.0,"{'columntransformer__countvectorizer__max_features': 311, 'ridge__alpha': 1.0}",-0.08909991280033568,-0.09783977341038949,-0.08661826989455618,-0.09677748796951902,-0.08611429532220687,-0.09128994787940145,0.005028350006939687,-0.06987121830874278,-0.06904802343007764,-0.07122760608863123,-0.0702994777816501,-0.07203310912849281,-0.07049588694751892,0.0010414951914428999
7,0.26249380111694337,0.007569075638423159,0.07435197830200195,0.014038667731078848,288,1.0,"{'columntransformer__countvectorizer__max_features': 288, 'ridge__alpha': 1.0}",-0.08928718525606592,-0.09781516338491326,-0.08652378865652094,-0.09661772823741072,-0.0862561725996239,-0.09130000762690696,0.00496043144039992,-0.07043136681027592,-0.06973791931925287,-0.07222050722098303,-0.07096684545416465,-0.07252743294589911,-0.07117681435011511,0.0010567557221739618
8,0.22183656692504883,0.015375903181280955,0.06908059120178223,0.011629727806793302,235,1.0,"{'columntransformer__countvectorizer__max_features': 235, 'ridge__alpha': 1.0}",-0.08902185946425559,-0.09841147831710899,-0.08664691049500457,-0.09641992387249335,-0.08631570696595606,-0.09136317582296369,0.005068552686578729,-0.07249594327600224,-0.07153951108490125,-0.0740774906264757,-0.0725665758744343,-0.07476452648416701,-0.07308880946919609,0.0011670528419168843
9,0.2583171844482422,0.018019158727009543,0.0570894718170166,0.005278038882456203,165,1.0,"{'columntransformer__countvectorizer__max_features': 165, 'ridge__alpha': 1.0}",-0.0912066426107012,-0.09699117223811729,-0.0858103985813166,-0.09767628535459137,-0.08534226987817439,-0.09140535373258017,0.005265547395378872,-0.07637377310940269,-0.07517531614899702,-0.07787700994833877,-0.07615795061984956,-0.07764140960659403,-0.07664509188663642,0.0009981415051474186
10,0.2286451816558838,0.019086590944404697,0.06127147674560547,0.009440141821676035,299,1.0,"{'columntransformer__countvectorizer__max_features': 299, 'ridge__alpha': 1.0}",-0.0891351610134115,-0.09818511803462537,-0.0866971737172956,-0.09684354485298877,-0.0862967846569703,-0.09143155645505832,0.005078462479507356,-0.07012090751865342,-0.06940567377847055,-0.07161213800889911,-0.0706023955415258,-0.07229294122269111,-0.070806811214048,0.0010327215896842607
